zone_id,latitude,longitude,soil_moisture_0_7cm,soil_moisture_7_28cm,fetched_at,data_source
Z_23.5_94.0,23.5,94.0,0.409,0.408,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_95.0,23.5,95.0,0.511,0.516,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_94.5,23.5,94.5,0.513,0.507,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_95.5,23.5,95.5,0.513,0.502,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_96.5,23.5,96.5,0.481,0.496,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_96.0,23.5,96.0,0.475,0.486,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_97.5,23.5,97.5,0.512,0.496,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.5_97.0,23.5,97.0,0.515,0.495,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_88.0,24.0,88.0,0.418,0.421,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_89.5,24.0,89.5,0.393,0.383,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_88.5,24.0,88.5,0.374,0.356,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_89.0,24.0,89.0,0.392,0.381,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_90.0,24.0,90.0,0.41,0.412,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_91.0,24.0,91.0,0.425,0.403,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_90.5,24.0,90.5,0.499,0.492,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_92.0,24.0,92.0,0.423,0.414,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_91.5,24.0,91.5,0.422,0.415,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_92.5,24.0,92.5,0.432,0.424,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_93.0,24.0,93.0,0.417,0.405,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_93.5,24.0,93.5,0.385,0.395,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_95.0,24.0,95.0,0.515,0.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_94.0,24.0,94.0,0.41,0.414,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_94.5,24.0,94.5,0.425,0.417,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_95.5,24.0,95.5,0.515,0.484,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_96.5,24.0,96.5,0.482,0.495,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_96.0,24.0,96.0,0.469,0.477,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_88.0,24.5,88.0,0.406,0.39,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_97.5,24.0,97.5,0.465,0.465,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.0_97.0,24.0,97.0,0.511,0.494,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_88.5,24.5,88.5,0.403,0.383,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_89.5,24.5,89.5,0.409,0.391,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_89.0,24.5,89.0,0.383,0.291,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_91.0,24.5,91.0,0.416,0.406,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_90.0,24.5,90.0,0.408,0.396,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_91.5,24.5,91.5,0.424,0.396,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_90.5,24.5,90.5,0.41,0.387,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_93.5,24.5,93.5,0.384,0.393,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_24.5_93.0,24.5,93.0,0.424,0.42,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
